"item_id","dataset_id","status","file_name","creation_date","update_date","resolved_wos_ut"
CTNG2026020016466773,DATA2026020034944150,A,CTNG2026020.XML,2026-08-20 06:09:01.470,2026-08-20 06:09:07.046,WOS:001647251700001
CTNG2026020016466679,DATA2026020034944016,A,CTNG2026020.XML,2026-08-20 06:09:00.265,2026-08-20 06:09:07.292,WOS:001652012200001
CTNG2026020016466790,DATA2026020034944178,A,CTNG2026020.XML,2026-08-20 06:09:01.709,2026-08-20 06:09:07.301,null
CTNG2026020016466754,DATA2026020034944131,A,CTNG2026020.XML,2026-08-20 06:09:01.114,2026-08-20 06:09:06.456,WOS:001646473900001
CTNG2026020016466759,DATA2026020034944136,A,CTNG2026020.XML,2026-08-20 06:09:01.198,2026-08-20 06:09:06.915,WOS:001646458700001
CTNG2026020016466805,DATA2026020034944200,A,CTNG2026020.XML,2026-08-20 06:09:01.816,2026-08-20 06:09:08.112,WOS:001534601200001
CTNG2026020016466809,DATA2026020034944204,A,CTNG2026020.XML,2026-08-20 06:09:01.888,2026-08-20 06:09:08.295,null
CTNG2026020016466824,DATA2026020034944219,A,CTNG2026020.XML,2026-08-20 06:09:02.160,2026-08-20 06:09:10.214,WOS:001403193900001
CTNG2026020016466827,DATA2026020034944222,A,CTNG2026020.XML,2026-08-20 06:09:02.226,2026-08-20 06:09:11.350,WOS:001625347900001
CTNG2026020016466870,DATA2026020034944286,A,CTNG2026020.XML,2026-08-20 06:09:02.647,2026-08-20 06:09:13.101,WOS:001641400300009
CTNG2026020016466752,DATA2026020034944129,A,CTNG2026020.XML,2026-08-20 06:09:01.083,2026-08-20 06:09:06.460,WOS:001398795900001
CTNG2026020016466770,DATA2026020034944147,A,CTNG2026020.XML,2026-08-20 06:09:01.403,2026-08-20 06:09:07.083,WOS:001648107600001
CTNG2026020016466804,DATA2026020034944199,A,CTNG2026020.XML,2026-08-20 06:09:01.799,2026-08-20 06:09:08.440,WOS:001642126700001
CTNG2026020016466812,DATA2026020034944207,A,CTNG2026020.XML,2026-08-20 06:09:01.946,2026-08-20 06:09:10.403,WOS:001644045500001
CTNG2026020016466828,DATA2026020034944223,A,CTNG2026020.XML,2026-08-20 06:09:02.242,2026-08-20 06:09:10.513,WOS:001645378900009
CTNG2026020016466875,DATA2026020034944291,A,CTNG2026020.XML,2026-08-20 06:09:02.744,2026-08-20 06:09:11.350,WOS:001641770700001
CTNG2026020016466877,DATA2026020034944293,A,CTNG2026020.XML,2026-08-20 06:09:02.777,2026-08-20 06:09:12.573,WOS:001640238900017
CTNG2026020016466887,DATA2026020034944303,A,CTNG2026020.XML,2026-08-20 06:09:03.004,2026-08-20 06:09:13.932,WOS:001638545600001
CTNG2026020016466789,DATA2026020034944176,A,CTNG2026020.XML,2026-08-20 06:09:01.680,2026-08-20 06:09:06.945,null
CTNG2026020016466807,DATA2026020034944202,A,CTNG2026020.XML,2026-08-20 06:09:01.852,2026-08-20 06:09:07.289,null
CTNG2026020016466776,DATA2026020034944153,A,CTNG2026020.XML,2026-08-20 06:09:01.521,2026-08-20 06:09:07.305,WOS:001646460400001
CTNG2026020016466810,DATA2026020034944205,A,CTNG2026020.XML,2026-08-20 06:09:01.919,2026-08-20 06:09:07.472,null
CTNG2026020016466806,DATA2026020034944201,A,CTNG2026020.XML,2026-08-20 06:09:01.839,2026-08-20 06:09:08.779,WOS:001645830000001
CTNG2026020016466817,DATA2026020034944212,A,CTNG2026020.XML,2026-08-20 06:09:02.026,2026-08-20 06:09:09.568,WOS:001642843300001
CTNG2026020016466821,DATA2026020034944216,A,CTNG2026020.XML,2026-08-20 06:09:02.097,2026-08-20 06:09:09.721,WOS:001534601200001
CTNG2026020016466815,DATA2026020034944210,A,CTNG2026020.XML,2026-08-20 06:09:01.991,2026-08-20 06:09:10.043,WOS:001632509400007
CTNG2026020016466772,DATA2026020034944149,A,CTNG2026020.XML,2026-08-20 06:09:01.453,2026-08-20 06:09:07.329,WOS:001632690900001
CTNG2026020016466765,DATA2026020034944142,A,CTNG2026020.XML,2026-08-20 06:09:01.298,2026-08-20 06:09:07.522,WOS:001353683100001
CTNG2026020016466786,DATA2026020034944167,A,CTNG2026020.XML,2026-08-20 06:09:01.609,2026-08-20 06:09:08.681,WOS:001672477700004
CTNG2026020016466802,DATA2026020034944197,A,CTNG2026020.XML,2026-08-20 06:09:01.761,2026-08-20 06:09:08.930,WOS:001643965500001
CTNG2026020016466818,DATA2026020034944213,A,CTNG2026020.XML,2026-08-20 06:09:02.041,2026-08-20 06:09:09.951,WOS:001610251200001
CTNG2026020016466822,DATA2026020034944217,A,CTNG2026020.XML,2026-08-20 06:09:02.115,2026-08-20 06:09:10.450,WOS:001646433500003
CTNG2026020016466838,DATA2026020034944247,A,CTNG2026020.XML,2026-08-20 06:09:02.452,2026-08-20 06:09:10.754,WOS:001645317200009
CTNG2026020016466830,DATA2026020034944225,A,CTNG2026020.XML,2026-08-20 06:09:02.298,2026-08-20 06:09:11.497,WOS:001625347900001
CTNG2026020016466866,DATA2026020034944282,A,CTNG2026020.XML,2026-08-20 06:09:02.563,2026-08-20 06:09:11.860,WOS:001640238900009
CTNG2026020016466879,DATA2026020034944295,A,CTNG2026020.XML,2026-08-20 06:09:02.817,2026-08-20 06:09:13.015,WOS:001636700200001
CTNG2026020016466895,DATA2026020034944311,A,CTNG2026020.XML,2026-08-20 06:09:03.214,2026-08-20 06:09:13.894,WOS:001634906400001
CTNG2026020016466927,DATA2026020034944403,A,CTNG2026020.XML,2026-08-20 06:09:03.401,2026-08-20 06:09:15.126,WOS:001741417300001
CTNG2026020016466939,DATA2026020034944421,A,CTNG2026020.XML,2026-08-20 06:09:03.835,2026-08-20 06:09:16.513,WOS:001607961300001
CTNG2026020016466876,DATA2026020034944292,A,CTNG2026020.XML,2026-08-20 06:09:02.762,2026-08-20 06:09:17.036,WOS:001639597000001
CTNG2026020016466956,DATA2026020034944438,A,CTNG2026020.XML,2026-08-20 06:09:04.176,2026-08-20 06:09:17.509,WOS:001632157700001
CTNG2026020016466980,DATA2026020034944481,A,CTNG2026020.XML,2026-08-20 06:09:04.558,2026-08-20 06:09:18.557,WOS:001645779600002
CTNG2026020016466891,DATA2026020034944307,A,CTNG2026020.XML,2026-08-20 06:09:03.103,2026-08-20 06:09:19.561,WOS:001640160900001
CTNG2026020016467005,DATA2026020034944534,A,CTNG2026020.XML,2026-08-20 06:09:04.792,2026-08-20 06:09:20.108,WOS:001379052500003
CTNG2026020016467015,DATA2026020034944544,A,CTNG2026020.XML,2026-08-20 06:09:05.049,2026-08-20 06:09:20.553,WOS:001625067100001
CTNG2026020016467000,DATA2026020034944528,A,CTNG2026020.XML,2026-08-20 06:09:04.678,2026-08-20 06:09:21.132,WOS:001623960200001
CTNG2026020016467026,DATA2026020034944556,A,CTNG2026020.XML,2026-08-20 06:09:05.460,2026-08-20 06:09:21.315,WOS:001625121300021
CTNG2026020016467035,DATA2026020034944565,A,CTNG2026020.XML,2026-08-20 06:09:05.654,2026-08-20 06:09:21.861,WOS:001624136000001
CTNG2026020016466788,DATA2026020034944172,A,CTNG2026020.XML,2026-08-20 06:09:01.642,2026-08-20 06:09:07.333,WOS:001677399100001
CTNG2026020016466792,DATA2026020034944182,A,CTNG2026020.XML,2026-08-20 06:09:01.723,2026-08-20 06:09:07.968,WOS:001677427900001
